City,Population,Size_km,Number_of_apartments,Number_of_houses
Amsterdam,1009238,219.33,426677,84295
Alkmaar,190991,117.4,26746,59281
Almelo,73107,69.41,9547,24002
Almere,211893,248.8,23945,62032
Alphen aan den Rijn,111897,132.5,16621,31557
Amersfoort,157276,63.86,24631,43091
Apeldoorn,163818,341.2,21100,52144
Arnhem,176319,101.5,37962,45498
Assen,68599,83.45,9377,22777
Bergen op Zoom,67496,93.13,9333,21551
Breda,184069,128.7,33217,51350
Deventer,100719,134.3,15039,30949
Ede,156829,318.18,24479,42394
Eindhoven,279860,88.92,48295,84583
Enschede,159640,142.7,27367,47855
Gouda,73427,18.11,13917,19522
des-Gravenhage,780417,98.13,281954,95291
Groningen,232874,198.0,69769,46676
Haarlem,282355,32.09,57202,73122
Haarlemmermeer,156002,206.3,16125,48070
Heemskerk,94474,31.68,15703,26991
Heerlen,198101,45.53,34203,68179
Helmond,92423,54.75,10376,30412
Hengelo,81140,61.83,11648,27053
's-Hertogenbosch,155111,91.26,28927,44064
Hilversum,90831,46.35,17583,25093
Hoorn,73261,53.46,9215,23871
Leeuwarden,124084,255.6,22438,40161
Leiden,268344,23.27,58138,63009
Lelystad,78598,234.13,5897,27488
Maastricht,121575,60.12,29891,31942
Middelburg,93182,53.05,15739,30851
Nijmegen,177659,57.6,37208,44509
Nissewaard,110809,83.79,14510,35232
Oss,91915,34.31,8947,31378
Purmerend,81249,24.56,12421,24280
Rotterdam,1242359,324.1,361163,222322
Roosendaal,77251,107.16,8625,26738
Sittard-Geleen,117436,80.58,16937,41488
Soest,71474,46.43,11105,21273
Tilburg,219789,118.1,36333,64085
Utrecht,455168,99.21,104099,95830
Veenendaal,66493,19.72,11222,17131
Venlo,101802,129.0,14798,32614
Zaanstad,156794,83.24,25329,43618
Zoetermeer,125285,37.05,24311,32147
Zwolle,128840,119.4,20832,37660
